ID,Genero,Ocupación,Plan_Internacional,Min_En_Dia,Min_Internacionales,Reclamos,Llamadas_Internacionales,Desafiliado
1,Masculino,Proyectos personales,no,265.1,10,1,3,no
2,Masculino,Negocios,no,161.6,13.7,1,3,no
3,Masculino,Educación,no,243.4,12.2,0,5,no
4,Masculino,Proyectos personales,si,299.4,6.6,2,7,no
5,Masculino,Educación,si,166.7,10.1,3,3,no
6,Masculino,Otros,si,223.4,6.3,0,6,no
7,Masculino,Educación,no,218.2,7.5,3,7,no
8,Masculino,Proyectos personales,si,157,7.1,0,6,no
9,Femenino,Negocios,no,184.5,8.7,1,4,no
10,Masculino,Educación,si,258.6,11.2,0,5,no
11,Masculino,Proyectos personales,no,129.1,12.7,4,6,si
12,Masculino,Proyectos personales,no,187.7,9.1,0,5,no
13,Masculino,Negocios,no,128.8,11.2,1,2,no
14,Femenino,Educación,no,156.6,12.3,3,5,no
15,Masculino,Negocios,no,120.7,13.1,4,6,no
16,Femenino,Educación,no,332.9,5.4,4,9,si
17,Masculino,Negocios,no,196.4,13.8,1,4,no
18,Femenino,Educación,no,190.7,8.1,3,3,no
19,Femenino,Proyectos personales,no,189.7,10,1,5,no
20,Masculino,Negocios,no,224.4,13,1,2,no
21,Femenino,Educación,no,155.1,10.6,0,4,no
22,Femenino,Proyectos personales,no,62.4,5.7,5,6,si
23,Masculino,Negocios,no,183,9.5,0,19,no
24,Masculino,Educación,no,110.4,7.7,2,6,no
25,Masculino,Educación,no,81.1,10.3,0,2,no
26,Femenino,Proyectos personales,no,124.3,15.5,3,5,no
27,Femenino,Proyectos personales,no,213,9.5,0,3,no
28,Femenino,Negocios,no,134.3,14.7,3,4,no
29,Masculino,Educación,no,190,6.3,0,6,no
30,Femenino,Otros,no,119.3,11.1,1,1,no
31,Masculino,Negocios,no,84.8,14.2,2,6,no
32,Masculino,Educación,no,226.1,10.3,1,5,no
33,Masculino,Proyectos personales,no,212,12.6,3,10,no
34,Femenino,Proyectos personales,no,249.6,11.8,1,3,si
35,Femenino,Educación,no,176.8,8.3,0,4,no
36,Femenino,Otros,no,220,14.7,3,6,no
37,Femenino,Proyectos personales,no,146.3,14.5,0,6,no
38,Femenino,Proyectos personales,no,130.8,10,1,5,no
39,Masculino,Proyectos personales,si,203.9,10.5,3,6,no
40,Masculino,Proyectos personales,no,140.4,11.1,1,9,no
41,Masculino,Otros,no,126.3,9.4,3,2,no
42,Femenino,Proyectos personales,si,173.1,14.6,0,15,si
43,Femenino,Educación,no,124.8,10,2,4,no
44,Masculino,Educación,no,85.8,9.2,3,4,no
45,Masculino,Otros,no,154,3.5,1,3,no
46,Masculino,Negocios,no,120.9,8.5,2,5,no
47,Masculino,Negocios,no,211.3,13.2,3,5,no
48,Femenino,Negocios,no,187,7.4,2,5,no
49,Femenino,Educación,no,159.1,8.8,5,3,si
50,Masculino,Proyectos personales,no,133.2,11,1,3,no
51,Masculino,Negocios,no,191.9,7.8,3,5,no
52,Masculino,Otros,no,220.6,6.8,1,3,no
53,Masculino,Negocios,no,186.1,11.4,2,6,no
54,Femenino,Negocios,no,160.2,9.3,2,5,no
55,Femenino,Negocios,no,151,9.7,5,3,si
56,Masculino,Proyectos personales,no,175.5,10.2,1,3,no
57,Femenino,Negocios,no,126.9,8,1,2,no
58,Masculino,Negocios,no,198.4,5.8,3,3,si
59,Femenino,Negocios,no,148.8,12.1,3,3,no
60,Femenino,Negocios,no,229.3,12,1,8,no
61,Femenino,Otros,no,192.1,11.4,1,4,no
62,Masculino,Educación,no,268.6,11.6,2,3,no
63,Femenino,Otros,no,193.7,14.6,2,3,no
64,Femenino,Educación,no,180.7,12.6,3,3,no
65,Femenino,Proyectos personales,no,131.2,8.2,2,6,no
66,Masculino,Proyectos personales,no,148.1,6.2,2,5,no
67,Masculino,Proyectos personales,si,251.5,9.3,0,4,no
68,Masculino,Negocios,si,125.2,8.3,0,8,no
69,Masculino,Negocios,no,211.6,7.8,1,1,no
70,Masculino,Negocios,no,178.9,13.8,4,3,si
71,Masculino,Educación,no,241.8,11.8,3,7,no
72,Masculino,Otros,no,224.9,12.1,0,2,no
73,Femenino,Proyectos personales,no,248.6,8,3,4,no
74,Masculino,Educación,no,203.4,7.3,1,4,no
75,Masculino,Educación,no,235.8,12,0,3,no
76,Masculino,Educación,no,157.1,6.1,1,2,no
77,Femenino,Proyectos personales,no,300.3,11.7,0,4,si
78,Femenino,Negocios,no,61.6,8.2,4,7,si
79,Masculino,Educación,no,214.1,8.2,2,3,no
80,Femenino,Otros,no,170.2,15,1,2,no
81,Femenino,Negocios,no,201.1,13.2,1,2,no
82,Femenino,Proyectos personales,si,215.4,12.6,3,5,no
83,Femenino,Negocios,no,165.6,11,3,2,no
84,Femenino,Otros,no,249.5,9.8,1,4,no
85,Masculino,Otros,no,210.6,12.4,2,1,si
86,Masculino,Educación,no,179.3,8.6,0,7,no
87,Femenino,Otros,no,157.9,8,4,5,si
88,Masculino,Educación,no,214.3,12,1,2,no
89,Femenino,Educación,no,154.1,10.9,2,9,no
90,Masculino,Proyectos personales,no,237.9,13.9,1,4,si
91,Femenino,Educación,no,143.9,11.1,1,2,no
92,Masculino,Educación,no,203.4,8.9,0,4,si
93,Masculino,Proyectos personales,no,124.3,7.9,1,9,no
94,Femenino,Educación,no,252.9,9.5,3,7,no
95,Masculino,Negocios,no,179.1,10.6,3,7,no
96,Masculino,Proyectos personales,no,278.4,9.8,1,5,no
97,Femenino,Educación,no,160.1,13,0,4,no
98,Masculino,Negocios,no,198.2,8.7,4,3,no
99,Masculino,Otros,no,212.1,5.3,1,5,si
100,Masculino,Otros,no,251.8,9.8,2,7,si
101,Masculino,Educación,no,161.2,4.4,4,8,no
102,Masculino,Educación,no,178.3,14.6,0,5,no
103,Masculino,Educación,no,151.7,10.5,0,6,no
104,Femenino,Otros,no,135,12.5,1,9,no
105,Masculino,Educación,no,170.5,11.3,1,2,no
106,Masculino,Otros,no,238.1,11.8,4,4,no
107,Masculino,Educación,no,281.4,9,2,6,no
108,Femenino,Negocios,no,117.9,9.8,1,3,no
109,Masculino,Otros,no,148.6,10.1,1,1,no
110,Femenino,Otros,no,229.8,9.6,3,7,no
111,Femenino,Otros,no,165,8.3,1,8,no
112,Masculino,Otros,no,185,12.6,2,2,no
113,Femenino,Proyectos personales,no,161,12.1,4,4,no
114,Masculino,Otros,no,126.7,13.3,1,7,no
115,Femenino,Otros,no,58.9,9.4,1,3,no
116,Femenino,Educación,si,196.8,20,0,6,si
117,Masculino,Negocios,no,162.6,14.2,1,3,no
118,Masculino,Educación,no,282.5,9.4,1,4,si
119,Masculino,Educación,no,113.7,10,2,3,no
120,Masculino,Negocios,no,239.8,8.7,2,5,no
121,Femenino,Otros,no,210.2,13.1,1,7,no
122,Masculino,Otros,no,213.8,7.2,0,3,no
123,Femenino,Otros,no,190.7,9.8,3,4,no
124,Masculino,Negocios,no,170.9,11.6,1,3,no
125,Masculino,Otros,no,154.2,9.2,2,5,no
126,Femenino,Proyectos personales,no,201.4,12,1,3,no
127,Masculino,Proyectos personales,no,70.7,9.1,4,3,si
128,Femenino,Proyectos personales,no,187.5,6.4,4,6,si
129,Masculino,Negocios,no,91.7,9.2,2,4,no
130,Femenino,Negocios,no,214.2,9.5,3,4,no
131,Femenino,Proyectos personales,no,145.5,10.9,3,2,no
132,Masculino,Negocios,no,166.3,6.1,1,5,no
133,Femenino,Negocios,no,231,9.5,1,3,no
134,Masculino,Otros,no,200.3,7.1,4,1,no
135,Masculino,Negocios,no,197,9.1,1,10,no
136,Masculino,Proyectos personales,si,129.9,11.2,3,3,no
